,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2009_5,0.111476312,0.210437108,0.08598268,0.046561922,0.104653596,0.085561182,0.168232684,0.144994829,0.088446743,0.152464711
2009_6,0.062499834,0.050664463,-0.008542577,0.044813163,0.069273907,0.038958148,0.030087638,0.072045447,0.060737357,0.026210613
2009_7,0.04960989,0.018299196,0.084220394,0.077773936,0.055836731,0.0367653,0.021766756,0.058237351,0.103414714,0.081675063
2009_8,-0.009054865,0.087472398,0.063397652,0.067489136,0.049100834,-0.009344942,0.068192934,0.021151158,0.055777695,0.376966152
2009_9,-0.024936612,-0.007561202,0.006406657,-0.032715948,-0.004807382,-0.016179943,-0.004994128,-0.006485294,0.003830162,-0.381453164
2009_10,0.106630115,0.021115639,0.017727516,0.03495341,0.023495448,0.033307086,0.046848018,0.00986735,0.056661559,0.363970999
2009_11,0.004686178,-0.036321629,0.065046768,0.038922455,0.049773287,0.011955726,0.043393724,0.011457954,0.042741586,0.010564411
2009_12,-0.063735634,-0.087258303,-0.015544236,-0.084183313,0.006746295,-0.025778809,-0.011473846,-0.004160755,-0.02838899,0.252657283
2010_1,0.132891489,0.192837334,0.107274318,0.086241098,0.056330221,0.135305842,0.122785794,0.054774098,0.111564618,0.030934564
2010_2,0.044009706,0.001956361,0.071260058,0.087117438,0.101251006,0.071339429,0.10249813,0.082710856,0.074102572,0.047958895
2010_3,0.045686575,0.015283772,0.03828044,0.027717744,-0.053061873,-0.000217204,-0.003941311,-0.010052126,-0.002841021,-0.100656225
2010_4,-0.035974652,-0.033507761,-0.027762088,-0.05226301,0.11682597,-0.043884933,-0.038701863,0.011024175,0.219141617,0.403272657
2010_5,-0.167850817,-0.115761607,-0.033675565,-0.100234355,-0.126308964,-0.095900914,-0.071889157,-0.100723501,-0.113597093,-0.180170569
2010_6,0.018060814,-0.030616183,-0.044860895,0.00747493,-0.071048055,-0.044708155,0.041068764,-0.049948547,-0.052083818,-0.056795842
2010_7,-0.050285721,0.005506373,-0.008636599,0.005134749,0.068801474,0.02172121,0.067907111,0.042869818,0.048567984,0.059071498
2010_8,0.019234138,0.048115075,0.144396599,0.026150909,0.035663359,0.0303002,-0.093743914,0.005086088,0.015110872,0.38058957
2010_9,0.006695392,0.034013633,0.030895997,0.024216487,0.024996677,0.057461245,0.170433871,0.067820489,0.03882079,0.082720959
2010_10,0.10682645,0.103711033,0.10566777,0.030860001,0.103300415,0.064317777,0.051938431,0.083326699,0.056913947,0.276314147
2010_11,-0.007021364,-0.033545701,-0.01754256,-0.023923226,-0.057429247,-0.029388929,-0.056184859,0.009032696,-0.003873344,0.064339084
2010_12,0.012491114,0.009189553,1.13E-05,0.016003486,0.042987644,0.031425279,0.039232759,0.037015034,0.158383489,0.38090033
2011_1,0.016009921,-0.020553083,0.016083278,0.013095172,0.017883949,-0.012885503,-0.010645089,-0.000338701,-0.036598965,-0.028349674
2011_2,0.01417435,-0.015842004,-0.022290846,-0.049017792,-0.008526713,-0.043410812,-0.037700754,-0.041897189,-0.032182523,-0.050127846
2011_3,-0.025807785,-0.011159792,-0.028910283,0.011170267,-0.016275054,0.02248735,-0.058253914,0.096752829,0.030067257,-0.217228672
2011_4,-0.024130732,-0.006765038,-0.01539819,0.018818611,-0.026299604,0.006211136,-0.019614767,0.001295445,-0.01905529,-0.230491439
2011_5,-0.081047976,-0.022968533,-0.085296145,-0.090579029,-0.050023122,-0.087776161,-0.102809171,-0.121840064,-0.109267096,-0.304042292
2011_6,-0.031077898,-0.028452852,-0.021943729,-0.062066948,-0.045449295,-0.025212881,0.08456195,-0.030808281,-0.022218224,0.098892863
2011_7,-0.063156359,-0.015744203,-0.042456878,-0.051090092,-0.050190275,-0.105156715,-0.196214843,-0.064982043,0.02267328,-0.254228248
2011_8,-0.074057175,-0.063101116,-0.092454678,-0.065337466,-0.042918143,0.000111176,-0.057182722,-0.171851659,-0.12447763,-0.189316465
