Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125
2004-01-01,-0.049813819615405264,0.07899439874363796,0.06749311491803522,0.021821444682092968,0.06487227281350069,0.09893638940752957,0.16576013329656672,0.06683148207697515,0.07229367663338035,0.024815913250008242,-0.05060245938480052
2004-02-01,0.06557823276423297,0.033639809566943416,0.03616939560188187,0.019878807789673644,0.011153310430839492,-0.059293284842275924,-0.09649683528502516,0.14817672192153025,-0.03792178206512517,-0.11724736835370725,0.3351578890244132
2004-03-01,-0.00902336831705958,0.0020880628873045483,0.09049693117674032,0.01601821369011111,-0.05148310053786913,-0.039161446218509186,0.03217347357544306,-0.06444371034241225,-0.08042542119296256,0.014491550499512354,-0.04705167122439731
2004-04-01,0.033719284235483794,0.042027262373834334,0.05141068852173053,0.013782132298672676,0.06318351452886158,0.012719841830488444,0.0256451138483507,-0.005797943798161093,0.008459570992553624,-0.0037270031709539493,-0.1194768990567956
2004-05-01,-0.07733368950822228,-0.044499647158180215,-0.07207616964826086,-0.039931027814364584,-0.07434497438412807,-0.09685904723910137,-0.08343674211903274,-0.0845675430285042,-0.07492924344833052,-0.06525032289671093,-0.06001435546002139
2004-06-01,-0.03630535809665048,-0.03272879441166239,0.0008289309694159233,0.00010338426959530856,0.0006077498768379982,-0.007805364466459855,0.005597080122396364,-0.020979910103129943,-0.04626083258634743,0.015434393416140784,-0.04152486322485993
2004-07-01,-0.06883942907200609,-0.08796545450483123,-0.06313445644459535,-0.054185967812936914,-0.034245839656826815,-0.11422965716489468,-0.06566065526631683,-0.10803461194014613,-0.12012211829735285,-0.09952714639643036,-0.04346279085552275
2004-08-01,-0.10365569516157083,-0.09426038886864847,-0.08809767016414448,-0.06735127775626132,-0.08344609208073052,-0.09283044770484557,-0.10934970566621646,-0.07951968237029583,-0.054340058177505146,-0.10948031948566588,-0.0012249851819397983
2004-09-01,-0.04089453151475055,-0.04130402090538659,-0.05854321949061327,-0.0185136991052884,-0.07208480371072623,-0.04281022704992787,-0.03946319810745468,-0.07009446222045433,-0.02117768370728833,-0.0497916172818248,-0.11391907022614088
2004-10-01,-0.08529646672996011,-0.06220587860706098,-0.08433910226744244,-0.055640365879754766,-0.06156338970355809,-0.06982830646865558,-0.07903011969082975,-0.07592175691013403,-0.04579595676893832,-0.08204691848683975,-0.04410863962606307
2004-11-01,0.032466988111668336,-0.007104248516102991,0.015549546566203875,0.05320183120430407,-0.010453572213098727,-0.07075664263192212,0.02428395885376814,0.021522439856899646,0.012673114376168979,-0.032647406446739184,-0.027186961505675768
2004-12-01,-0.011967538234093009,-0.03202218374157252,-0.06369619990443913,-0.01759278060973732,-0.018168511625673046,0.009785287971370715,-0.02899985072167937,0.015330496048266432,-0.02212748498712541,0.579981506887408,-0.043081493182527054
2005-01-01,0.10177379406241284,0.3306287813233485,0.10226398410344094,0.1147193646642082,0.21622496310643266,0.11527135272696158,0.13747754841557114,0.10139375936809744,0.07633102721656047,0.06455363773904291,-0.03951602475345987
2005-02-01,-0.06430279211018257,0.039225512643008914,0.03387660478065264,0.01192978206739154,-0.03446985064244398,0.046931482102680534,-0.03048016896580075,0.018263811634214804,0.015528307644736668,-0.018476348597529568,0.35049696288562915
2005-03-01,0.052697376675498765,0.043198625626082315,-0.011100421669816805,0.041580758155931714,0.04638833149944562,-0.056778641685254524,0.009878947615626191,-0.09924161658596538,-0.11069867205889282,-0.01126402752976511,-0.2453436025515733
2005-04-01,0.02877589264067549,-0.06655490693779438,-0.024032606143385742,-0.038627471879736176,0.007646702867468166,0.05459828446626214,-0.003944874932617703,-0.030625783976916163,-0.0059338975458078464,-0.043039236935273534,-0.022581745891802243
