,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2004_10,-0.011406394416291146,-0.06368883448289298,-0.007854863160401087,-0.04672133085898935,-0.007965514980183339,-0.001817057110301826,-0.02042785047027827,-0.007341963424082776,-0.02098381694300506,-0.11166114851485154
2004_11,-0.014748898742299501,0.0750411426383557,-0.04336785911157247,-0.03410640191006451,0.18017374639945652,0.32587767508426274,0.12186785811689911,0.06669627638137225,0.09676221609470857,0.18266252517325032
2004_12,0.007377827497393606,0.128982527020817,0.01313559522488389,0.056485392985927474,0.017239115637646876,0.019579119374919914,-0.018061731189261052,0.05355304876769308,-0.021614273681102518,0.0
2005_1,0.012220954105977313,0.11330120583450544,0.055680629228431776,0.14912264139913217,0.20871348626274203,0.26794170681240354,0.18609168847241955,0.1219107490487767,0.16705692096203467,-0.28272251072064913
2005_2,-0.0022748682531244435,-0.040274096300840605,0.03137449560644504,0.10415295787536814,0.1003052213870617,0.02365257371226992,0.10641668860441918,0.08108771979564443,0.13887582878170426,0.21751819891949542
2005_3,-0.047442386734440234,-0.02010956840365557,0.010427967304287744,0.04445366512451967,0.1615353762845013,0.07231218826444648,-0.01053558088880838,-0.02857776974016676,-0.012230682645887272,0.15527577425254036
2005_4,0.06408823294168062,0.0049402774076455136,0.009988562539070338,0.008835810523899331,0.0809266660658595,0.04757187357577546,0.021651491841602737,0.015539818317988134,-0.0296278850445262,-0.11831860901525215
2005_5,0.02927035171467069,-0.07197267784284875,-0.0887139903272814,-0.011096652195786946,0.014025034410347479,-0.04633092422634,-0.09704048851877768,0.006468488995267292,-0.04168459605820402,0.1359623603151252
2005_6,-0.024193801801785146,-0.08868462888040943,-0.054349398493794665,-0.11708560543893635,-0.112419175024134,-0.1552849060334473,-0.09299125852851413,-0.055681457091270446,-0.0840686036325179,-0.08547842762547198
2005_7,0.003177082138905472,0.04403013136479818,0.01867535700472443,0.07027147908270422,-0.05764359125478334,0.045797802449153706,0.05268183244562722,0.06117032232676784,0.05620336337148465,0.04257826849760186
2005_8,0.028073517151578783,0.04571919883809178,0.052453486114705294,0.033960660608854755,-0.013965898500724513,-0.02030853431857707,0.031979567189394445,0.23833296116599642,-0.009326995896127163,5.545587157979159
2005_9,0.026652037119181234,0.03006387747667277,0.02543738791855831,0.023581735286622302,-0.004057503459312641,0.04772749117296066,0.010126558068461529,-0.025225293420134437,0.11379579118530034,0.03358321809834265
2005_10,0.032968336610445306,0.038994625685604856,0.04060359895764075,0.008723529603549574,0.018922167150670344,0.022757221309165215,0.009352498415073619,0.006393154203410259,0.0753921045621689,0.03485169419014608
2005_11,0.001989747558041971,0.013814092828032268,0.01857584696463275,0.028148252462911253,0.02137075288803389,0.011594758774063534,0.19152631673583598,0.03494029047728731,0.03557797458879919,0.02142614322608701
2005_12,0.051530752451529806,0.01603978484602695,-0.0025731435051762016,0.014061204706634111,0.030486742999912823,-0.004247219330181038,-0.026768162955471655,-0.03880345645018069,-0.015903902561670655,-0.008019569152483952
2006_1,0.005011147063154655,0.044075968004905486,0.054244251667031174,0.03346136313050447,0.08516779785949251,0.11747446230436209,0.0888896575080197,0.12619670099185107,0.20728408163124107,7.387946497862414
2006_2,-0.014329244422493947,-0.00290802108448051,-0.007825438951155205,0.004662857611708586,0.013704342573030574,-0.001178899099982406,0.0630930031103559,-0.01898027400228615,0.12711525918086258,-0.02951816812952901
2006_3,-0.007556750317736453,0.02485190275082724,0.009671656876699497,0.014794678800827103,0.005818751003813362,0.023471752910577185,0.02214161507361157,0.0023510899236103555,0.01662708371735003,-0.03676780805754
2006_4,0.09157505322085982,0.11553373157209335,0.07709334030841633,0.12606762954823114,0.07131054230759261,0.15344872396299578,0.07750404565297977,0.09827275224296284,0.009471571819436017,7.274314857322571
2006_5,-0.01613758446840853,-0.015164697919249185,0.008538684909326352,0.007705527301030736,0.023072557178716452,0.06212034969158588,-0.029435782229523425,-0.004529933876099908,-0.0505390848168271,-0.06552486221753166
2006_6,-0.030107402265888754,-0.03966637526440062,-0.06384156789267033,-0.035182960608274166,-0.05504995366702504,-0.04582101931156288,-0.049890709650989636,-0.05476158722061246,-0.13217343772347212,-0.0699589822688117
2006_7,0.01273819078263534,0.009007280644432188,0.03179195896864419,0.003091284520130608,-0.0076191437970988445,0.02113476975420709,-0.01491226964077055,0.08095502121003291,5.214362571163992,10.596979249600393
2006_8,0.005224992514494511,-0.005311045562641423,-0.014674589161814355,-0.015976821774974392,-0.0350851322859771,-0.006502814991950403,0.00529171946827272,-0.04329203006652245,-0.03731373279053568,-0.09467748062492075
2006_9,0.022782544398141466,0.03943136235856686,0.028561055626689417,0.0031345657775723674,0.02140368812889193,0.029255444346982254,-0.0019529623607818637,0.0317664019997041,-0.06464539893412254,8.97919122522999
2006_10,0.05651692297471654,0.08337900187463992,0.09042064637505479,0.09068779682837394,0.06696219582012165,0.08108380136782414,0.06949888546710957,0.11828391988934119,0.09868271739315412,0.03358791906134563
2006_11,0.01205768960314525,0.006140796697323919,0.034890297287840585,0.025811429974717796,0.026115438291279047,0.057337557689043805,0.1175222600935462,0.13449634537363264,0.16310519523877529,0.042225762089094086
2006_12,0.013640357956533504,0.00858574710272121,0.05865917083946824,0.0007375231849919653,0.03637271528997829,0.08280605585336508,0.01617900121112046,0.03604828271180175,-0.026993553583993905,-0.051522858864309726
2007_1,0.025400988620829512,0.04232449687823417,0.04148928841703495,0.06247709853551769,0.09158652282990226,0.05459462901300979,0.08543240673151319,0.10852891775688328,0.18039474399623304,0.09146075757689916
2007_2,-0.007048744741969599,-0.011976313012321469,0.0027014283879399884,-0.011113463531414538,0.056210179802366006,0.06873793073998387,0.018760193335033332,0.08031614774405291,0.09806049251363683,8.940901587951009
2007_3,0.03752843020315188,0.048053307973252996,0.040819580729991846,0.05443315317913477,0.05237043826096002,0.00029973512058018015,0.053285954885291364,0.03258947231322609,0.02882181226994457,-0.08576762526566295
2007_4,0.0867493124805588,0.10487037301000778,0.07273591641914806,0.05508728354543188,0.0506273992320117,0.11190523419325836,0.09908075272889302,0.10164529775724439,0.09705769121349131,13.021559143767773
2007_5,0.03902016637088502,0.0354875410344426,0.010189003085180861,0.025383550854602324,0.02607149957408434,-0.008387994537023954,-0.00015739047265984137,-0.008875701063829374,-0.0111871027357501,-0.010886682977668781
2007_6,-0.010793566086892754,-0.005088193194967117,-0.015031333266579091,0.0007556497965206891,-0.02066433027169677,-0.012969296624564777,-0.03525569401376241,0.016267967404882944,-0.07710324052129293,4.596220817303581
2007_7,-0.055139784122618274,-0.07590299867305364,-0.11685468113387475,-0.0896350108297289,-0.05191139755483801,-0.09928905905416162,-0.07669038245535567,-0.06449238650536684,-0.10649302958415602,-0.11757864454930532
2007_8,0.013048163452010418,0.006637730543509616,0.020847819124139886,-0.0008367283111889723,0.017806476063346996,0.012223222905580323,-0.026093647749113286,0.03724756141240218,-0.01833034731864566,-0.04550002418080972
2007_9,0.06920991125264352,0.06100114840857354,0.04767034333350054,-0.004338240358633388,0.028375593553675138,0.06039588788089269,0.035982132538190464,0.027358405079131638,-0.03932765090645276,0.08970841215218
2007_10,0.013591650677619896,-0.008410127996339353,-0.007075976915196551,0.021770710928964827,0.0024210942612424785,0.007233858885146789,-0.01531396415040638,0.0013989257381849653,0.0009669863246593677,0.031940950081255165
2007_11,0.005138218934635613,-0.04215542375264402,-0.059608053985164146,-0.05574151542601342,-0.05363757647167296,-0.05893721616989134,-0.08461226520261672,-0.037850519008204984,-0.049982862368092865,-0.01392210177424704
2007_12,-0.011069354270270134,-0.07520913830028007,-0.060066538261751644,-0.06894609640038436,-0.051834153267162966,-0.06629942109338832,-0.07916344134997338,-0.06368791411986706,-0.049485249358618706,-0.013869069017726018
2008_1,-0.05647967124138852,-0.05022163389524162,-0.060029301414445874,-0.06942830403608384,-0.10378223575284903,-0.08333416978030918,-0.08670695699840643,-0.06869368282374522,-0.14124407628111096,-0.07106503734901336
2008_2,-0.014191451323413378,-0.011613794892537513,-0.05218462526893721,-0.042309464307421274,-0.007215334443234832,-0.033644515070904456,-0.05330408109403699,0.012216775766093865,0.019199493403575026,-0.06458624018067151
2008_3,-0.04245884904450683,-0.03582969381396486,-0.026323119012737838,-0.042965416238932685,-0.044057764738765055,-0.06569997825895198,-0.03899836212432293,-0.022266521656532798,-0.0615198640422198,-0.042210902604596354
2008_4,0.010237222194865156,-0.01317629094046281,0.005217314707534036,-0.0025159928952927426,-0.004563777610510996,-0.03267738776070438,0.004350050905609272,0.0063636297755602705,-0.04231625144570344,-0.04854842244086796
2008_5,-0.01212993963156068,-0.000707215080802386,-0.0082844672480896,-0.0373085343388659,-0.003494050264841643,-0.03427719581946634,-0.02295114300334415,-0.021696872938196964,0.05780465841890332,0.03536756911607946
2008_6,-0.05883907475723876,-0.07844095286253677,-0.12875385096642905,-0.12586018827570333,-0.14453043219181583,-0.1572777677325298,-0.15435259506381635,-0.10229808411725942,-0.06638576414076802,-0.11543032194669973
2008_7,0.018266762979152494,0.005659129055960788,0.06991945036532808,0.0509726162929013,0.033951430458995804,0.08822844558211583,0.06859287478312309,0.0007866025466836007,0.03859893217909141,5.836896835381317
2008_8,0.0010740275128136492,-0.055398021347870745,-0.011058429881800719,-0.030894890144117795,-0.04340890784362859,0.009718326151669758,0.030433167199185977,-0.021266829385427472,-0.005201045722651596,-0.13964012365713996
2008_9,-0.07903062136014355,-0.16363212691764825,-0.1485472615692095,-0.11014857906208342,-0.17141239824815688,-0.17206133864796525,-0.17865585002088175,-0.1930756628080388,-0.1244287225016853,-0.16605050676080765
2008_10,-0.08835080583471502,-0.1372026530917439,-0.14114498867979927,-0.164298937043968,4.0348925724609215,-0.17306835556030153,-0.1283049350580077,-0.15806634754852017,-0.1033262010091351,-0.11007988012286087
