Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125,return,,,,,,,,,,,,,,,,,
01-04-12,-0.006875534,-0.002284406,0.007103875,-0.010488824,0.012712217,0.001308182,0.016160495,0.038144389,-0.005004211,0.283079707,-0.043907447,0.025062759,0.957042531,,,,,,0.993148049,0.997718201,1.007129167,0.989565992,1.01279336,1.001309038,1.016291782,1.038881225,0.995008289,1.327210945,0.957042531
01-05-12,-0.048751789,-0.051443309,-0.098476355,-0.072716536,-0.076709343,-0.105495845,-0.105904091,-0.094908385,-0.233639083,-0.567572695,0.038520695,0.025271304,1.039272236,,,,,,0.952417501,0.949857496,0.90621712,0.929864376,0.92615901,0.899878211,0.899510915,0.909456251,0.791647483,0.566899809,1.039272236
01-06-12,-0.041445459,-0.04810571,-0.053457666,-0.071567211,-0.072702809,-0.084328387,-0.066431177,-0.043516047,-0.165743037,0.179350443,-0.054465415,0.024708251,0.94699126,,,,,,0.95940166,0.953033037,0.947946071,0.930933707,0.92987714,0.919129376,0.935727313,0.957417191,0.847263922,1.196439955,0.94699126
01-07-12,-0.045681512,-0.053237848,-0.041217417,-0.063900078,-0.043015675,-0.079901675,-0.086541313,-0.035772457,-0.083887024,-0.021209905,-0.017381728,0.022622638,0.982768463,,,,,,0.95534618,0.948154469,0.95962047,0.938098732,0.957896375,0.923207116,0.91709766,0.964859815,0.919535136,0.979013443,0.982768463
01-08-12,-0.03674825,-0.013036509,-0.041244275,-0.037042564,-0.027642999,0.00037946,-0.038027592,-0.108028993,-0.111730027,0.210088955,-0.061916949,0.020463527,0.939960948,,,,,,0.963918771,0.987048098,0.959594696,0.963635118,0.972735573,1.000379532,0.962686378,0.897601572,0.894285658,1.233787807,0.939960948
01-09-12,0.016252569,0.020238953,0.039720552,0.01212549,0.048658385,0.040992955,0.058745714,0.001684553,0.042391608,-0.403689981,-0.015402593,0.019803059,0.98471542,,,,,,1.01638536,1.02044515,1.040519962,1.012199302,1.049861641,1.041844765,1.060505535,1.001685973,1.043302964,0.667851136,0.98471542
01-10-12,-0.003173287,0.029637654,0.015177519,0.007726307,0.003409981,0.049833095,0.00257819,0.028763091,0.077769724,0.298792422,-0.021588318,0.021356958,0.978643042,,,,,,0.996831742,1.03008122,1.015293282,1.007756232,1.003415802,1.051095649,1.002581516,1.029180743,1.080873731,1.348229732,0.978643042
01-11-12,0.008886376,0.020348871,0.013626039,-0.006018099,0.007775361,0.00959525,0.013652181,0.001873603,0.11049001,0.070559922,-0.021531605,0.021301454,0.978698546,,,,,,1.008925977,1.02055732,1.013719296,0.993999973,1.007805667,1.009641431,1.013745797,1.001875359,1.116825192,1.07310887,0.978698546
01-12-12,-0.00117625,0.01525802,0.016362533,-0.002247286,0.054071995,-0.019877458,-0.020314444,-0.038574978,-0.045755778,-0.501380361,0.063251513,0.018922672,1.065294741,,,,,,0.998824442,1.015375018,1.016497133,0.997755237,1.055560595,0.980318796,0.979890504,0.962159561,0.955275233,0.605694006,1.065294741
01-01-13,-0.003495961,-0.010426107,-0.034282606,-0.008884969,-0.04266047,0.017724152,-0.027634111,0.026849967,-0.059516049,0.628290363,-0.015538894,0.018337417,0.984581212,,,,,,0.996510143,0.989628056,0.966298384,0.991154385,0.958236685,1.017882157,0.972744218,1.027213675,0.942220412,1.87440329,0.984581212
