,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2003_10,-0.0038723595573927115,0.027932537465264917,0.08490433752771462,0.03236839874020261,0.05804209484889895,0.09509768162922866,0.07330187109920752,0.16309085023316888,0.2573854066267316,0.12147199011630859
2003_11,0.002324378488006467,0.028311181065292304,0.013643907108025112,0.06659660964287864,-0.014188628324407279,0.0638626490215333,0.05321044266897952,0.09609968279662652,0.09415509338466384,0.11898658043535944
2003_12,0.001337776212979784,0.0642219074385584,0.06980113670151711,0.06351084907665089,0.10101945186020932,0.12689945928686908,0.04974224550737438,0.019374234288198774,0.05995920605471586,0.05012178046102159
2004_1,0.021398928103984558,0.04586319572388611,0.06544037906704767,0.10181438542528624,0.10387116304752624,0.06753685672959708,0.11030851133375989,0.15151227801351827,0.22855903984384413,0.009858408058461146
2004_2,0.028562489425030875,0.04929051127842045,0.028859368238759148,0.04496781030345391,0.042874787739580776,0.020792347105635507,0.05324419779925482,0.01559957316389009,0.753250083163261,16.652872287786067
2004_3,0.01878677920917458,0.021607141700336507,0.02442800899327336,0.00836621787064887,0.035608832850386754,0.06720777933746372,0.047701958394809736,0.10790965536429827,0.09555033860776957,0.03485670773214281
2004_4,0.013545249259795826,0.01422689749525261,-0.008460097604098462,0.04674154143406214,0.08322861807740764,0.0447768608858107,0.06754175545288384,0.05969672112642874,0.13442300543863173,0.08961729920279837
2004_5,0.008137823432099171,-0.013657792143884243,-0.005590423048736581,-0.010321346780795923,-0.018377410094931167,-0.014102013979430825,0.025023926605728972,-0.04495853559048672,-0.0399947514670643,-0.04999335564009889
2004_6,0.014126747363587778,0.016447075209203837,0.04314575587743547,0.08386010084105416,0.013965573159385717,0.05547418823767332,4.10507925928658,0.05814562185885346,-0.03935068134114658,0.9382396279001042
2004_7,-0.012199151988790699,-0.028329666133488272,-0.036718970311092405,-0.04409069829103887,-0.04094304922507776,0.015012002235229756,-0.0158847376891095,-0.010341275464990108,-0.047180712507689786,-0.08130015455084222
2004_8,-0.03019716938437537,-0.043709785420563,-0.028583396467219236,-0.05299913645256881,-0.045630135831137286,-0.07810069779497947,0.00025129697050804554,-0.060090138647793084,-0.02242536975929714,-0.08125091937103225
2004_9,0.006868381262391328,0.0034509169546773164,-0.014756124948650218,0.03784122830915646,-0.006009971928229803,-0.0014983195862725315,0.030766181612175786,0.00977090445868231,0.01663595276289584,-0.0125543048424325
2004_10,-0.002619579416143208,0.006576948529141094,-0.0031343607039455656,-0.02665005746042185,-0.022110164532188243,-0.03928537445030456,-0.0007034796641264212,-0.026953182646814663,-0.053283090094434896,-0.07749660075589743
2004_11,0.033947241207087794,0.03040778342090337,0.028952497239892655,0.048684787382049996,0.09490486930554855,0.060704575051267265,0.025276296001702638,0.04259783202619426,0.030028023370136294,0.23789339107052118
2004_12,0.021065928763384503,0.04334940273081276,0.0572663906368135,0.04956614087715438,0.0362946118292745,0.017320934802354644,0.036007228165807474,0.040139482923893716,0.08486447956413973,0.023161958719194523
2005_1,0.034635809093109024,0.030404052633167835,0.10376124058828291,0.13483726825793638,0.08634128406789517,0.10044256041813371,0.13562388003786338,0.13415255843219973,0.1776006325381723,0.8483063919976114
2005_2,-0.006912596932869479,0.014193552480360938,0.06039587525190514,-0.0117522094229457,0.07305822482739639,0.09576330866371338,0.049158423408421976,0.013213240193718175,0.038254653163356564,0.16306213725306834
2005_3,-0.02391377913598141,-0.021669078917820526,0.0041270510081697145,-0.03315453844965643,-0.036838718588583355,0.015733939219152598,0.03157656394248823,0.05726721643151,0.11413923042701743,0.12985036309753495
2005_4,0.031829884168416325,0.059708609775337394,0.053884481109931444,0.02143828211463114,0.028454561795802788,0.02201797237418667,0.01658763044544533,0.09818148426841584,0.015508811129062506,0.07968423177592639
2005_5,-0.048155386378060355,-0.009621707684171856,-0.04651568692089394,-0.0262075832592519,-0.014834018065242514,-0.01701716730138149,-0.04278271427851736,-0.040812658349553305,-0.0263869771260712,-0.04662684560903469
2005_6,-0.040666257695618845,-0.04781267299496699,-0.08438815165942429,4.883682987688076,-0.0608663538783574,-0.0578082054086144,-0.08783812587258946,-0.04600354450054725,-0.09486333565072104,-0.09707125674774279
2005_7,0.02592808853700001,0.05346112053879757,0.059595752584460815,0.04471815949927884,0.051423574622162314,0.06957848290957806,0.025342701630903186,0.04017691339578451,0.004534803009448189,0.08243542861242277
2005_8,0.026027719217763274,0.0377022337425644,0.04066550569446986,-0.005963658593632786,0.039117290882019644,0.009494277973361682,0.05437796587728898,0.0371602715740689,0.007234466260665212,8.759557293576327
2005_9,0.03187989527205075,0.04284682255266926,0.020128100233892554,0.01826281224079938,0.019672660208666974,-0.012032123444592006,0.010367756651833877,0.00045485498547822824,0.06503564160976667,0.14844698307746498
2005_10,0.029104175574557,0.028793082499078866,0.030249041861807265,0.03345290287483005,0.018343695135756646,0.01528747619164363,0.027870972164393094,0.02667298539802375,0.03913161165694638,0.015307340867832022
2005_11,0.008674815688342602,0.0007267690659146172,0.0030159154362755514,0.004595590199073912,0.01271308027747758,0.031241205033587835,0.030494196569045662,0.05500870867802134,0.005517959162038283,0.27109463477652723
2005_12,0.01756249078171974,0.028015659381024596,0.034776024352517136,0.010672179764806552,0.027463688304897253,0.01576306380646066,0.042247788893595324,0.002149332842368648,-0.0504969411671783,-0.061364740442186504
2006_1,-0.01288032039792617,0.05270292131693728,0.029248455732389735,0.05906665680441823,0.07957776547681857,0.14886273461728658,0.06628517142013517,0.12098195039702676,0.13455575543654,8.436557778028073
2006_2,0.004455154108684566,-0.015080699168574874,0.0018446981217673704,0.019250252596808664,0.005419834618747288,-0.02712291161674335,0.040872789387592916,-0.000574368284233307,0.06419074417451383,0.07529139616167223
2006_3,-0.0030101457992965522,0.0020937233847984874,0.010848657238099375,0.03789981828359154,0.010107380520870813,0.008435390729521427,0.023446358995979532,-0.0102921206062916,0.009615876937227682,-0.02328331614721638
2006_4,0.07381489701660753,0.09440047882810555,0.09022029461561387,0.1012395223506132,0.11219783648534701,0.11846742976060308,0.1103110311658003,0.07333602937126268,0.06437247420656168,6.87465008848406
2006_5,0.004385787463333331,0.013548980816610467,0.0062362205532727755,-0.019413885266302507,-0.008557637580886377,0.02226831879948105,0.03496304745789864,-0.03227466040767887,-0.03068225056078444,-0.08624711367170099
2006_6,-0.02215875227216708,-0.040916386136056956,-0.04582902903917054,-0.05461436082793625,-0.07313379760027458,-0.07874586615948137,-0.03976052819650264,-0.029280148255573908,-0.04857304998542994,-0.14916898927361982
2006_7,0.0020293031999894604,0.02408737048898016,0.01196635166812612,0.0010139855600020619,0.0261910814973575,0.03517099146602253,0.012756211263174447,-0.0011304795577547488,0.05590456884625858,9.457312722279331
2006_8,-0.0023506246982717915,-0.009525871215965969,-0.011410801020918543,-0.008488268834198006,-0.007072070537022468,-0.012178459330026942,-0.02930454263933923,-0.01216236391238648,-0.024015545033939285,-0.13923277582280683
2006_9,0.003983056608621204,0.015829334319899763,0.032502884123260425,0.02329518523335461,0.03409717983785952,0.025829165402321948,0.014698748455666252,0.05461757147740711,-0.015103301567289073,5.727045477210331
2006_10,0.03698892256415974,0.07491156367874312,0.057671201547008125,0.09607636285932541,0.09312620104832331,0.11711304672276925,0.06956859731709335,0.09016797232105833,0.12589790573262372,0.04923558305345176
2006_11,0.032328937572811835,0.018660882708653674,0.01253536015870288,0.025544610467564104,0.03448685437458595,0.017492622262903976,0.04020227211914027,0.1116681770270267,0.12403268339004661,0.1989207439849536
2006_12,0.004135296908720308,0.023259254367098463,-0.0059472283755786105,0.009318988270582465,-0.000637426457392759,0.05692924911375162,-0.00011811729848117403,0.0906739667600718,0.08891422978082446,-0.07519495463087239
2007_1,0.032198059962978205,0.039903738340189954,0.03431601693293259,0.05083838743982383,0.04178733075722011,0.06957034480984733,0.07694170575941649,0.04272674724430875,0.1747927696953878,0.14375945260786352
2007_2,0.0015972024220471525,-0.01180622241028167,-0.003940559747728921,-0.02009734996614246,-0.0035248831595259323,0.02616289732017098,0.00066334446211008,0.06786845403609788,0.09939355845261393,4.361724811013963
2007_3,0.028001590087685668,0.030301961948424255,0.048359731115661934,0.03603099663971079,0.0700772536630595,0.05047613686208593,0.03455612895668789,0.02158430711669181,0.03934524459642954,-0.09307412300769795
2007_4,0.06928317511819482,0.0815381445728443,0.08147661138937756,0.12422274020559294,0.07034723208056146,0.09060616662393925,0.07219363610290466,0.061435489448447074,0.14599924100244455,9.537090515640122
2007_5,0.024588863487053268,0.020722446958999188,0.01527917249441334,-0.0012413830917947066,0.010507630054665646,0.012253644857309176,0.0063259540794173156,0.007624971560691159,-0.020587219523324974,0.0027517764409746978
2007_6,0.00018563015449934466,-0.012159429142681972,-0.036984566484276116,-0.016270846361006557,-0.015359046765332562,0.0012230939938601693,0.011699675703385542,-0.0025897182021165743,-0.058350571247964986,3.094478106183008
2007_7,-0.043344825656688304,-0.05098583671716776,-0.10515003407957879,-0.0919910963296661,-0.08055106995097819,-0.1080491696054542,-0.07864562119345547,-0.07599540511093489,-0.07387959251044707,-0.11625196296934166
2007_8,0.0011871786585775051,0.0042401514151673885,-0.003295325541086194,0.023303829391650793,0.001096142011944831,0.009412994853761158,0.003223244049965126,-0.0023027688913268758,-0.0172454217005207,-0.03575459412428732
2007_9,0.040690837701542415,0.056038481643916054,0.040623369726912724,0.011631586311316593,0.03806042621650552,0.019360057196358117,0.062113010257417514,0.06071496023569035,-0.006861583484209415,-0.0110081699706123
2007_10,-0.008030887410984355,-0.005623744759897419,-0.0028026449021783376,0.018177896883546107,0.009983125202124632,-0.029044815104309004,0.037236034415505034,-0.0087606630995752,0.025416238003798487,0.030072134819853432
2007_11,-0.01856261959207018,-0.07443105611040658,-0.0521957104643242,-0.014472104570839969,-0.02626123799943531,-0.08410852557379177,-0.05472067695692615,-0.06364151220723616,-0.07728469453515581,-0.030847741564756986
