Date,return,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2004-08-01,0.0,-0.06942964280831931,-0.10964502327790182,-0.07252978408772401,-0.1015495709627236,-0.09355425017320701,-0.10289633948959812,-0.05010409418824201,-0.1613373044161098,-0.07378328564972421,-0.074556597070465
2004-09-01,0.0,-0.05469228564362552,-0.02964491063235032,-0.04883138961246882,-0.03709913459499752,-0.04313289602920022,-0.04460675237815882,-0.05128048588708502,-0.03501917777893942,-0.058241517014426425,-0.056632677549102825
2004-10-01,0.0,-0.016003132063220526,-0.07557355144646143,-0.05589022855891033,-0.06735769448385243,-0.07415412634655663,-0.07868785491554223,-0.08857725462153773,-0.055825415756495425,-0.08204752152924352,-0.12344750659213882
2004-11-01,0.0,-0.01115811598420758,-0.02791411380472418,-0.011763114151077978,-0.003653877508062578,-0.023716176307003678,-0.014462128583918179,-0.02302089032880748,0.042924163539852116,-0.02197675989779228,0.030307699535759826
2004-12-01,0.0,-0.019908227467958464,0.020560708788597337,-0.016829613799583965,-0.04639135012123866,-0.03653373616482726,-0.06499499400032857,0.007559733580857833,-0.039427276801972166,-0.03176304585073506,0.11803205487428364
2005-01-01,0.0,0.01705178163863961,0.0580757229883417,0.07859360473814192,0.057141868315759105,0.0567551428560707,0.11372265900414871,0.10378935370540832,0.12309077245973082,0.11393924919245413,0.35021502432031393
2005-02-01,0.0,-0.03044389092259147,-0.03688481253439227,-0.04005675199689947,0.008772784743444534,0.010986384544737132,0.030137121136758233,-0.02824721352354057,0.02948311202642563,0.04514147697871003,-0.10749162170058046
2005-03-01,0.0,-0.06737473462552077,-0.06369118659849506,-0.05006776182840206,-0.02479543072681176,-0.009106664927692461,-0.058262578651380764,0.004854935060461543,-0.08234663348992927,0.034870531474059434,0.028099839295220745
2005-04-01,0.0,-0.02837377733149856,-0.002364260946409763,-0.03114261781023676,-0.011399167744100061,-0.008309294089619761,-0.01544252125128566,-0.06835773270472256,0.038870807986918644,-0.02290400199593136,-0.01957443707161256
2005-05-01,0.0,-0.025878120229829025,-0.049960457501109626,-0.07465649501422042,-0.08681294416667923,-0.04783256131147702,-0.049317420977102226,-0.05223601690247043,-0.07815563448255242,-0.14130139808399703,-0.14115849467398342
