Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2006_7,0.023384211029609355,0.0036143619028579706,-0.009936013791034714,0.012874315396381538,0.015853944921418683,0.046481579667082,0.019286042108994306,0.013291900081746607,0.02709198670763254,0.05066711001947622
2006_8,-0.040383557770358805,-0.030476541517850564,-0.012926047595317675,-0.005503832341803289,0.0008818071536747366,-0.022132184906512295,0.015273811060895719,-0.021746038142140902,-0.019739289396711244,-2.5099059202806887e-05
2006_9,0.009021532941552269,0.0022950007420342085,0.003585054560224722,0.029608253718921243,0.025065357726218897,0.037618585736587475,0.03162108462646589,0.014657828896397168,0.01669687166242378,-0.04121603119175981
2006_10,0.05945711633048134,0.08420606534989508,0.10956473551448008,0.10899724141919022,0.0954571096766351,0.03139306406472669,0.07242857834512621,0.043455092538742274,0.1433839434732083,0.10622209621462349
2006_11,0.08636959681311153,0.07168296213774404,0.05651472014642155,0.04001848855457512,0.05863569568343299,0.05951942802403798,0.05228957389776383,0.0768405608974142,0.136506876052464,0.12124105403438686
2006_12,-0.011145235554649259,0.027718349913179195,0.02225199097599644,0.020776845839255334,0.02903388548080884,0.024544646467070736,0.003881368261418779,-0.050948841752522844,0.009065103112623941,0.05326676771173431
2007_1,0.05921889648483088,0.10025643868314708,0.06437021960934527,0.0580538072451,0.024444034746877043,0.028850323633037033,0.055338004685695934,0.07629312749575168,0.06502510879233551,0.00912971176905488
2007_2,0.06682218784022094,0.042243736281175594,0.026356886893714775,0.01103022525145424,0.04756490889021204,0.06994810375773927,-0.010834039249324728,0.01781875186916544,0.06384862981792766,0.015405364727004284
2007_3,0.01356630174487962,0.019475227734520623,0.045362166408039306,0.013934194326143054,0.021959147263072635,0.007658609645438528,0.02700518455374279,0.06903222917287978,0.036641140415941034,0.019084100047331676
2007_4,0.0977661752898389,0.08661399588650702,0.0665890792651268,0.10637592111558998,0.06933628963920176,0.06086913049603515,0.0570366941781428,0.08055757910066785,0.09300429188844407,0.0966095734204908
2007_5,0.003650642247244304,0.003733932199587902,0.010454376059688067,0.03739019215669811,0.027167351441064327,0.008564173192073815,0.0036891119994753863,0.0020457244671132357,0.009133725453465247,0.04833968868491008
